latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
19.296481,72.840923,1.0,64.0,18.0
19.053536,72.84643,77.0,193.0,134.0
19.053536,72.84643,92.0,170.0,134.0
19.053536,72.84643,1.0,29.0,14.0
19.065931,72.862131,5.0,15.0,7.0
19.0243902,73.0406721,19.0,41.0,30.0
19.309073,73.057223,96.0,187.0,139.0
19.309073,73.057223,3.0,17.0,10.0
19.309073,73.057223,12.0,96.0,47.0
19.9629,79.298714,86.0,229.0,129.0
19.9775302,79.2337086,50.0,132.0,72.0
19.10078,72.87462,20.0,21.0,21.0
18.91,72.82,34.0,79.0,52.0
19.083694,72.920967,2.0,7.0,3.0
19.2058,72.8682,3.0,17.0,11.0
19.2058,72.8682,67.0,143.0,100.0
19.2058,72.8682,30.0,30.0,30.0
20.918946,74.776388,1.0,2.0,1.0
20.918946,74.776388,9.0,23.0,18.0
20.918946,74.776388,14.0,48.0,36.0
21.001264,75.565602,57.0,152.0,90.0
21.001264,75.565602,10.0,47.0,24.0
21.001264,75.565602,20.0,33.0,24.0
19.23241,72.86895,10.0,72.0,45.0
19.2243333,72.8658113,51.0,77.0,63.0
18.9767,72.838,57.0,157.0,94.0
19.25292,73.142019,9.0,23.0,11.0
19.1135051,73.008978,43.0,106.0,74.0
19.1135051,73.008978,73.0,161.0,117.0
19.1135051,73.008978,34.0,36.0,35.0
19.1135051,73.008978,3.0,3.0,3.0
19.1135051,73.008978,20.0,22.0,22.0
19.1135051,73.008978,18.0,20.0,18.0
19.1135051,73.008978,7.0,13.0,11.0
19.008751,73.01662,4.0,5.0,5.0
19.0575752,73.0151367,48.0,158.0,97.0
19.0575752,73.0151367,1.0,77.0,28.0
19.02579,73.10297,29.0,99.0,68.0
19.02579,73.10297,4.0,20.0,12.0
19.02579,73.10297,1.0,27.0,11.0
19.1878657,72.8304069,9.0,44.0,23.0
19.1878657,72.8304069,22.0,88.0,58.0
19.1878657,72.8304069,1.0,88.0,21.0
19.175,72.9419,54.0,201.0,98.0
19.175,72.9419,4.0,5.0,5.0
19.175,72.9419,10.0,10.0,10.0
18.897756,72.81332,40.0,190.0,118.0
18.897756,72.81332,24.0,87.0,46.0
18.897756,72.81332,36.0,74.0,60.0
19.1375,72.915056,19.0,37.0,27.0
19.1375,72.915056,34.0,66.0,48.0
19.215859,72.831718,15.0,76.0,40.0
19.215859,72.831718,1.0,2.0,1.0
19.0632143,72.8456324,3.0,4.0,3.0
19.0632143,72.8456324,11.0,44.0,35.0
19.1653323,72.922099,53.0,133.0,96.0
19.0863,72.8888,94.0,124.0,113.0
19.0863,72.8888,36.0,37.0,36.0
19.19709,72.82204,10.0,34.0,17.0
19.19709,72.82204,1.0,19.0,7.0
19.000084,72.85673,2.0,14.0,7.0
19.060498,72.923356,56.0,100.0,72.0
19.047,72.8746,38.0,106.0,73.0
19.10861,72.83622,51.0,93.0,70.0
19.10861,72.83622,11.0,11.0,11.0
21.121801,79.04952,88.0,138.0,111.0
18.616318,73.765797,35.0,177.0,131.0
18.616318,73.765797,39.0,108.0,69.0
18.60577,73.749976,119.0,236.0,171.0
18.501793,73.927532,114.0,248.0,177.0
18.501793,73.927532,14.0,133.0,83.0
18.57304,73.927715,19.0,120.0,70.0
21.121801,79.04952,3.0,14.0,5.0
21.143383,79.048912,103.0,189.0,133.0
19.173852,77.296291,60.0,92.0,74.0
19.173852,77.296291,3.0,5.0,4.0
19.173852,77.296291,8.0,10.0,9.0
19.063,73.1209,17.0,82.0,36.0
19.063,73.1209,11.0,53.0,20.0
18.59051,73.77946,7.0,99.0,70.0
18.530085,73.849598,3.0,35.0,12.0
18.530085,73.849598,5.0,94.0,40.0
19.95022,73.73148,2.0,3.0,3.0
19.445821,72.7988231,17.0,107.0,46.0
19.445821,72.7988231,16.0,118.0,61.0
25.5586,91.8985,6.0,11.0,8.0
23.7176342,92.7192841,15.0,15.0,15.0
23.7176342,92.7192841,1.0,11.0,4.0
25.6635413,94.0989878,14.0,89.0,38.0
25.6635413,94.0989878,3.0,5.0,3.0
25.6635413,94.0989878,75.0,77.0,76.0
25.6635413,94.0989878,1.0,11.0,4.0
20.832874,85.104082,20.0,45.0,33.0
20.832874,85.104082,29.0,183.0,183.0
22.245,84.88111111,34.0,44.0,40.0
21.606865,85.510538,140.0,300.0,211.0
21.606865,85.510538,102.0,142.0,122.0
21.606865,85.510538,13.0,13.0,13.0
20.9360711,85.1707021,62.0,436.0,211.0
11.9309,79.8027,50.0,80.0,65.0
11.9309,79.8027,2.0,4.0,3.0
11.9309,79.8027,5.0,12.0,8.0
31.62,74.876512,19.0,27.0,22.0
31.62,74.876512,37.0,54.0,40.0
31.62,74.876512,33.0,43.0,39.0
30.233011,74.907758,3.0,9.0,7.0
31.321907,75.578914,2.0,4.0,4.0
30.736056,76.209694,33.0,140.0,92.0
30.9028,75.8086,9.0,38.0,18.0
30.9028,75.8086,12.0,29.0,18.0
30.649961,76.331442,12.0,302.0,107.0
30.649961,76.331442,16.0,211.0,101.0
30.649961,76.331442,23.0,25.0,24.0
21.847279,85.416905,28.0,63.0,45.0
21.847279,85.416905,51.0,125.0,86.0
22.265816,86.174829,19.0,72.0,30.0
22.18972222,84.86277778,100.0,153.0,120.0
22.245,84.88111111,87.0,285.0,108.0
30.349388,76.366642,14.0,40.0,20.0
31.0325454,76.5623046,71.0,86.0,73.0
26.470859,74.646594,8.0,17.0,12.0
27.554793,76.611536,6.0,44.0,27.0
22.06156703,85.47409613,100.0,326.0,220.0
22.06156703,85.47409613,22.0,23.0,23.0
20.94185,86.1151,63.0,328.0,148.0
20.94185,86.1151,42.0,185.0,185.0
20.48891,85.84768,12.0,220.0,220.0
21.51161,86.89088,109.0,315.0,146.0
21.51161,86.89088,1.0,1.0,1.0
22.1166054,85.3945546,9.0,43.0,16.0
22.1166054,85.3945546,2.0,91.0,49.0
20.34652,85.8163,65.0,312.0,142.0
18.547056,73.826908,1.0,140.0,85.0
16.5038,74.3623,18.0,62.0,42.0
17.6336264,75.9132495,6.0,23.0,11.0
17.6336264,75.9132495,1.0,6.0,2.0
17.65439,75.90649,14.0,91.0,37.0
17.65439,75.90649,3.0,8.0,4.0
19.222279,72.957979,3.0,3.0,3.0
19.222279,72.957979,11.0,35.0,21.0
19.222279,72.957979,12.0,46.0,38.0
23.55519,74.44001,5.0,16.0,9.0
23.55519,74.44001,12.0,52.0,25.0
25.106006,76.469948,114.0,163.0,136.0
25.106006,76.469948,18.0,49.0,27.0
25.106006,76.469948,22.0,52.0,32.0
27.215415,77.50873,57.0,349.0,148.0
27.215415,77.50873,6.0,152.0,152.0
25.339605,74.618883,90.0,315.0,215.0
25.339605,74.618883,3.0,9.0,5.0
26.29581,73.082283,1.0,65.0,16.0
26.215415,73.070156,7.0,22.0,14.0
26.215415,73.070156,3.0,139.0,56.0
26.358805,73.047444,66.0,163.0,110.0
26.358805,73.047444,17.0,112.0,46.0
26.358805,73.047444,3.0,19.0,8.0
26.253384,72.976571,3.0,5.0,4.0
26.506177,77.025989,10.0,15.0,12.0
26.506177,77.025989,7.0,13.0,10.0
23.837789,73.714926,4.0,7.0,5.0
23.837789,73.714926,14.0,96.0,24.0
29.61075,74.283608,1.0,6.0,2.0
26.902909,75.836858,87.0,176.0,123.0
26.902909,75.836858,33.0,58.0,39.0
26.843698,75.766894,7.0,15.0,9.0
26.9164092,75.7994901,123.0,156.0,144.0
