country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Pusa, Delhi - IMD","13-01-2026 14:00:00",28.636110,77.173332,PM2.5,58,422,312
India,Delhi,Delhi,"Pusa, Delhi - IMD","13-01-2026 14:00:00",28.636110,77.173332,PM10,71,466,333
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","13-01-2026 14:00:00",28.563262,77.186937,CO,18,180,92
India,Delhi,Delhi,"Rohini, Delhi - DPCC","13-01-2026 14:00:00",28.732528,77.119920,NH3,8,17,12
India,Delhi,Delhi,"Mundka, Delhi - DPCC","13-01-2026 14:00:00",28.684678,77.076574,PM2.5,93,500,383
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","13-01-2026 14:00:00",28.60909,77.0325413,PM10,195,500,396
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","13-01-2026 14:00:00",28.60909,77.0325413,CO,38,94,52
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","13-01-2026 14:00:00",28.570173,76.933762,CO,20,126,81
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","13-01-2026 14:00:00",28.570173,76.933762,OZONE,3,25,9
India,Delhi,Delhi,"Narela, Delhi - DPCC","13-01-2026 14:00:00",28.822836,77.101981,PM10,108,500,329
India,Delhi,Delhi,"Narela, Delhi - DPCC","13-01-2026 14:00:00",28.822836,77.101981,NH3,7,12,9
India,Delhi,Delhi,"Narela, Delhi - DPCC","13-01-2026 14:00:00",28.822836,77.101981,SO2,5,41,14
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","13-01-2026 14:00:00",28.6573814,77.1585447,NO2,31,230,105
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","13-01-2026 14:00:00",28.530785,77.271255,PM2.5,NA,NA,NA
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","13-01-2026 14:00:00",28.623763,77.287209,NO2,48,154,92
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","13-01-2026 14:00:00",21.613267,73.010555,NO2,22,23,23
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","13-01-2026 14:00:00",21.613267,73.010555,NH3,6,6,6
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","13-01-2026 14:00:00",21.613267,73.010555,OZONE,4,103,45
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","13-01-2026 14:00:00",23.243639,72.68994,SO2,7,16,10
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","13-01-2026 14:00:00",23.243639,72.68994,OZONE,2,46,20
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","13-01-2026 14:00:00",28.6701,76.9254,NH3,12,13,13
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","13-01-2026 14:00:00",28.6701,76.9254,CO,45,50,48
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","13-01-2026 14:00:00",28.6701,76.9254,OZONE,16,19,18
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","13-01-2026 14:00:00",28.806223,76.141105,NH3,1,9,8
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","13-01-2026 14:00:00",28.806223,76.141105,CO,10,14,12
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","13-01-2026 14:00:00",29.027200,77.062100,SO2,6,10,8
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","13-01-2026 14:00:00",29.027200,77.062100,CO,29,64,59
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","13-01-2026 14:00:00",29.027200,77.062100,OZONE,25,26,26
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","13-01-2026 14:00:00",30.1480566,77.2893471,PM10,20,456,212
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","13-01-2026 14:00:00",30.1480566,77.2893471,NO2,11,21,16
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","13-01-2026 14:00:00",30.943887,76.801991,SO2,26,108,59
